STATE,AGI_STUB,N1,MARS1,MARS2,MARS4,ELF,CPREP,PREP,DIR_DEP,N2,NUMDEP,TOTAL_VITA,VITA,MVITA,TCE,VITA_EIC,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N18800,A18800,N19300,A19300,N19500,A19500,N19530,A19530,N19550,A19550,N19570,A19570,N19700,A19700,N20800,A20800,N20950,A20950,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11900,A11900,N11902,A11902,N12000,A12000
US,0,152455900,72858670,54719600,21580140,134694080,9565250,81314050,93575420,291781490,94162650,3348720,1574100,126190,1648430,459020,21055350,37059830,10991386516,151883220,11148878322,125810680,7557396023,43997810,106605858,28136800,279740132,26166960,214614828,19964380,34409554,26044990,350904404,25494330,855728034,15020410,283187706,28326900,729165302,1840560,5231660,24378318,20763960,308253971,9038470,677726637,38807000,157491806,3542260,910489,1010470,25374746,4147040,31628858,2606950,13156611,12316470,13336451,1094280,2561099,781800,14947644,47103650,1403313346,10077080,102103653,34132100,368945149,10809950,19993888,39019720,219756597,46595670,624144302,19384000,10468402,33390710,287021778,825780,4416156,2087350,1390831,2330950,3564963,1424180,16917319,37972110,256340776,13424270,122371154,1799970,36535738,118868190,8002481273,118462670,1662439370,5106080,36573829,3089680,3399229,45983760,72681583,8701490,22081045,6576700,3725526,8890580,9417552,8676440,1547978,22117110,26842495,1593770,2189071,19898100,62925144,5484120,29552178,6232750,32814598,4654990,3666084,143785130,1941684251,26838260,65334130,22749580,55833625,17892310,23861880,8028050,7120297,2316780,1852412,107576550,1589760706,116802320,1696149449,4034160,8673612,4525030,25522042,30931860,180977680,116526500,421439708,113470180,336086491,3890090,85353222
US,1,2104070,1259420,660720,88950,1443300,332930,1336940,479060,3182590,523350,24320,13840,280,10200,360,61900,975830,-231640267,1531620,-228928309,558180,21230099,665020,5897312,443090,5242513,402220,3585585,57460,344668,717340,-11275681,630590,17508592,162980,2622632,235270,3140106,161100,14920,77647,3800,21993,392120,-55000817,465610,2711958,7740,1867,3660,73500,114480,665513,11950,62232,86060,101099,65560,231974,26270,608817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43640,222029,5480,206638,34880,11754,8580,28917,640,130,0,0,1430,1034,760,598,4200,3187,0,0,253770,664073,209980,1572577,223350,1505215,1860,1474,919070,6472660,181960,208954,116780,141144,76420,119676,92840,87341,151100,166164,37720,193108,328140,1001025,13390,28199,3550,41688,191420,389346,829800,5862115,772340,4066981,72610,1795138
US,2,20466760,16792260,1630980,1763300,17280390,1586700,9405140,10840880,19107580,4126630,880680,427330,9110,444240,181490,2346000,3866000,106085375,20466540,109307936,15108520,87676119,2817180,1289187,1756180,2276483,1580660,1460556,141130,106773,3410740,12601925,1500310,949636,894830,3535821,1860590,8601661,107030,281550,804625,53140,231678,264020,-677231,3375380,3222561,28390,6207,5580,30861,203650,630768,41950,138445,336390,299407,200790,613547,15600,56146,763190,12632316,532820,5095279,184250,383585,411750,262255,523270,2082104,711390,2862467,221810,96656,376640,2605057,9450,55520,17340,8933,36480,67256,14280,25850,436050,580465,300830,972608,28540,300578,2305960,4032482,2278300,459900,1260,6072,145800,52374,145220,18222,91820,3910,360,124,29750,8144,5720,1251,10420,3341,1820,461,2829230,2218907,661530,3924727,696410,3896254,14870,8070,17032330,16391642,6347050,7154125,5365680,6128145,1861240,1271804,775290,666607,418160,256510,2226090,441714,5140000,2737333,1220,1317,1950,12094,2122240,1045338,15854510,14496300,15766320,14290436,111680,205861
US,3,31868260,19239930,4596810,7483940,28264610,1947400,16092020,22562750,53287350,18912550,1089230,552950,26050,510240,183290,6813250,6441460,547983849,31868260,557013971,25303440,424335720,4279110,3052150,2435440,5406675,2196280,3478617,493420,330806,5992280,47994652,2078420,3754372,1992110,14485751,4445420,47573991,206150,1214280,4862711,2289090,4277728,565130,1362241,6656020,9030122,166350,38398,19490,124443,440420,1439561,203610,674240,1354680,1202833,115870,298470,31940,105590,2398150,38656715,1409740,12652657,880050,1204635,1200200,960463,1553360,5604052,2292590,8278568,774900,376021,1133760,7257675,29150,153659,48870,29834,115560,188274,30450,49543,1582640,3679356,848330,5232888,95610,976272,20300470,130768042,20207140,13910734,5870,11512,770660,265497,6097130,2119047,291500,29338,352940,113958,1831100,1034667,2227290,374322,1661370,531356,59220,21755,4901760,8458542,2054510,10759622,2105320,10747186,1449650,805527,29774560,92971552,12048880,40414985,10576960,35217046,8704690,11993302,1959350,1669305,1009880,658120,16425530,11791776,20418430,21216794,2690,2934,2310,13521,3396590,3856409,27513880,75475038,27346900,75023415,229440,451625
US,4,36092270,18904730,8626460,7469230,32240070,2055510,18185390,25497440,67542260,23037600,897360,453040,39600,404720,92900,6628060,7356170,1309476019,36092270,1326003621,31305470,1080871317,6725990,4959013,3718750,10053383,3391770,6774829,2169030,1415709,4753830,40790008,3205920,8958219,2642530,27030366,5812130,99281781,320850,1465210,6942590,5365980,36912206,970350,6942986,8120180,16527602,639990,153565,52530,451876,648360,2903308,583650,2298347,3727720,3947287,115930,262466,65010,237983,6756380,112866984,2565880,22255369,3976650,7539339,2270760,2703707,4601480,15582854,6596580,27597788,2509090,1277080,3854820,23650006,101110,502785,163650,145207,527870,785227,63220,104586,4833560,13894399,2602740,20923909,247780,2564685,34575900,679166774,34390040,84109127,7650,25405,1332090,991599,14089510,12036620,863520,174420,1571280,916344,2655310,2677819,5046540,938213,7718370,7036432,275420,196843,3311110,8255219,1988990,10072727,2162150,11041611,1993490,1296928,35058760,152016836,8113640,17503804,6591600,14310148,6161670,8929457,1830190,1565289,606430,583584,28571520,72072868,30182290,82033647,5840,7266,4800,18808,5647950,9385043,30195460,78933973,29897250,77975003,410260,958968
US,5,20843440,8772260,8755380,2664080,18561440,1207350,11364940,13326560,42941860,13360260,285950,92970,22770,170220,980,2664790,5679840,1281367153,20843440,1297072763,17850960,995474843,6590720,5586064,3793880,13250838,3500470,9237145,3354950,2617376,3080310,31117709,3294720,13470931,2417360,33261075,4807040,118244641,285430,854610,4245460,4251650,64622449,963530,10586247,6066370,15705610,672370,167205,64490,687401,509360,3011399,526080,2430648,2878340,3249414,177860,355373,72500,272060,7845070,144621816,2110520,19835293,5537520,16693373,1911900,2918306,6227250,22512268,7758980,44213285,3144670,1485701,5412720,35227638,133840,631371,260120,216478,733080,1134455,86020,157044,5979060,19247451,2636080,20511964,272400,2995565,20700100,835941450,20630450,118624207,27730,50357,488400,896224,8041030,11424079,1094750,315385,1011380,573416,1510590,1852315,1396130,233594,5184910,7910418,304600,321606,2178330,6226042,460260,2676626,662320,3686476,694060,659770,20428340,147641604,146740,52262,98570,37142,914500,1271725,1058650,958004,111990,155689,19657610,107200213,19961800,114712591,5760,6435,5190,18463,4939900,11741500,15819100,44190492,15487140,42990601,440340,1199887
US,6,13465530,3729370,8372960,1066710,12033860,766330,7662310,8200670,31440150,9606430,101820,21140,13620,67060,0,1266250,4169240,1166938390,13465530,1180038150,11527400,874565320,5709790,5576822,3449140,14527592,3201600,10410687,3393390,3178174,2274490,27340264,3020750,16913394,2046240,37072601,3724880,115611933,234570,551170,2737446,3134510,62844721,909750,13241511,4038960,13099760,590870,155768,72310,891034,403660,2795613,377670,2022644,1604220,1818933,55690,109049,72250,285183,7081630,147529492,1444020,14656853,5410500,23340875,1404710,2599756,5998720,24719758,7038130,52683999,2993930,1451838,5271620,38535993,126730,574513,292620,216801,698460,1187103,100660,195902,5689770,20579896,2078030,15694185,240700,2867952,13419030,820162756,13380290,123598294,80620,136303,175970,527212,5534170,9173147,1076620,387462,927560,544925,1125510,1436262,0,0,3721490,6197657,258920,339125,1642750,5330242,93520,472990,216070,1103930,258940,332910,13269580,142917743,0,0,0,0,131820,206359,796870,726779,17400,28446,13220070,114425369,13280410,120838706,8340,6956,5920,17070,3655770,11142668,9766770,32954340,9452110,31588906,411340,1365436
US,7,19896460,3263730,15526220,848900,17879200,1172600,11704750,10476460,52344480,16926840,65650,12200,13910,39550,0,1155340,6136530,2701132620,19896460,2733928282,17402560,2005665280,11085330,14475461,7470850,45480866,7023640,34120970,7492800,9084879,3894950,71407358,6736060,67581726,3448240,94239123,5687800,235009491,361500,692470,3712694,4257310,100696591,2300960,60070320,7149880,32795662,1190130,323850,274320,4540468,860490,7426128,692840,3924114,2329060,2717478,362580,690220,184690,986307,15037580,393415864,1746880,20826475,12167470,87838814,2470950,5972963,13486730,72522672,14989120,171406986,6717010,3657252,11925900,104691460,281440,1277134,798450,501754,219510,202648,363620,938279,12881990,56563550,3661660,28848720,519030,7562536,19859270,2037849630,19824640,354395120,694730,1653231,120310,537812,8542180,12017002,2652600,1632409,1931780,1133551,1736880,2407311,0,0,3813590,5157511,493510,795112,2915610,12673745,15330,72909,141520,694376,197570,388348,19674490,382385605,0,0,0,0,41980,69557,1514860,1446972,1820,3899,19745940,342379700,19782610,357660678,204870,64662,94730,92068,7032930,34299414,12806390,58488191,12061100,52904958,971370,5583239
US,8,6230560,728610,5288930,158170,5642920,396650,4272400,1974550,17639970,6122680,3700,640,860,2200,0,116400,1925620,1778786987,6230560,1809390435,5496310,1209162195,4739590,14235654,3847550,53195997,3684780,41811071,2268320,5272883,1505860,72799528,3762340,109870376,1162240,54510972,1497820,85808301,122030,143590,899078,1144140,30876514,1763050,140045291,2168960,30603448,231480,59919,337350,9497620,636210,7613834,131200,1222541,0,0,0,0,167960,1887335,5832860,258494488,253250,5828704,4799010,82697764,940290,3251016,5328070,47988073,5823570,136409223,2506890,1612271,4466570,56813885,113070,762541,401630,218345,0,0,419730,2061512,5264400,40752776,1060610,12410292,246300,6981694,6221470,1457796794,6220870,344103148,3671020,19245990,18970,102047,2569800,5454055,1816300,3668738,676720,379496,0,0,0,0,2760,2593,168900,369916,1358360,10390296,0,0,22490,121746,37420,134729,6156620,343103021,0,0,0,0,0,0,0,0,0,0,6208550,338649611,6221520,355932956,2739450,2116038,3092840,3300439,3197420,43922821,3007160,30576554,2379630,19297685,761310,11278867
US,9,993160,109470,847700,24580,902730,64870,834430,156100,2887150,1046950,0,0,0,0,0,2930,325380,669148177,993160,683308769,851440,372348573,904910,8295811,787270,28552337,762160,22668589,347950,2464866,275970,27663158,812260,77029458,173380,10581748,174260,10409714,25270,11300,77463,172130,4986562,543220,122111126,478120,14160592,12290,3053,114550,5088679,198700,2945662,25370,254478,0,0,0,0,69650,1815463,931980,83111442,11820,718086,781950,37007522,141170,665304,870280,14052980,930020,52332644,357240,304650,667400,12112745,19910,248113,73440,36226,0,0,174660,1849921,869510,17643791,151330,4384383,71010,3786576,991560,585975103,992330,171167289,505530,6681149,2050,11630,595000,4505402,492590,3475313,81650,48689,0,0,0,0,0,0,22750,80044,318920,3879367,0,0,2420,13892,4840,25531,980940,168886375,0,0,0,0,0,0,0,0,0,0,989880,166661913,992170,176846907,708310,2232867,861160,3743938,542750,23972906,445120,15724100,214840,5521380,262560,10202714
